N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
4,Treppenhaus klein(Küche),0,10AB,"1,5",Notbeleuchtung Treppe 07,#VALUE!,10AB ,"1,5",Treppe 011 Fahrstuhlseite Treppenhaus ,#VALUE!,10AB ,"1,5"
4,Notbeleuchtung Treppe 011 Fahrstuhlseite ,#VALUE!,10AB,"1,5",Besprechung 016,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10AB ,"1,5"
4,Treppenhaus / Flur 011 Fahrstuhlseite ,#VALUE!,10AB,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5",Besprechung 016 Downlights dimmbar ,#VALUE!,10AB ,"1,5"
4,Taster örtlich ,#VALUE!,10AB,"1,5",Besprechung 016,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10AB ,"1,5"
4,Besprechung 006 Downlights dimmbar ,#VALUE!,10AB,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5",Besprechung 016 Downlights dimmbar,#VALUE!,10AB ,"1,5"
4,Taster örtlich ,#VALUE!,10AB,"1,5",Windfang 010 ,#VALUE!,10 AB ,"1,5",Taster örtlich,#VALUE!,10AB ,"1,5"
4,Post 005,#VALUE!,10AB,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5","Arzt 008,009 BKK",#VALUE!,10AB ,"1,5"
4,EDV Raum 013,#VALUE!,10AB ,"1,5",Besprechung 016 Downlights dimmbar ,#VALUE!,10 AB ,"1,5",UV-Schacht ,#VALUE!,10AB ,"1,5"
4,Foyer 002 indirekt ,#VALUE!,10AB ,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5","Büromaterial 022,015",#VALUE!,10AB ,"1,5"
4,Taster Tableau ,#VALUE!,10AB ,"1,5",Flur 007 ,#VALUE!,10 AB ,"1,5",Empfang 002 ,#VALUE!,10AB ,"1,5"
4,Foyer 002f,0,10AB ,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5",Taster Tableau ,#VALUE!,10AB ,"1,5"
4,Taster Tableau ,0,10AB ,"1,5",EDV-Betreuer 012 ,#VALUE!,10 AB ,"1,5",Empfang 002 ,#VALUE!,10AB ,"1,5"
4,Foyer 002g,0,10AB ,"1,5",Empfang/Foyer 002,#VALUE!,10 AB ,"1,5",Taster Tableau ,#VALUE!,10AB ,"1,5"
4,Taster Tableau ,0,10AB ,"1,5",Taster Tableau ,#VALUE!,10 AB ,"1,5",Foyer 002 ,0,10AB ,"1,5"
4,Notbeleuchtung Foyer ,#VALUE!,10AB ,"1,5",Windfang 010 ,#VALUE!,10 AB ,"1,5",Taster Tableau ,0,10AB ,"1,5"
4,Reserve,#VALUE!,16 AB ,"1,5",Taster Tableau ,#VALUE!,10 AB ,"1,5",Außenbereich Haupteingang ,#VALUE!,10AB ,"1,5"
4,AE EDV Betreuer 012 Klimaanlage Server ,#VALUE!,16 AB ,"2,5",Notbeleuchtung Flur 07 Fahrstuhlseite ,-26023,10 AB ,"1,5",Dämmerungsschalter Usr Empfang ,#VALUE!,10AB ,"1,5"
